tradingsymbol,amc,name,purchase_allowed,redemption_allowed,minimum_purchase_amount,purchase_amount_multiplier,minimum_additional_purchase_amount,minimum_redemption_quantity,redemption_quantity_multiplier,dividend_type,scheme_type,plan,settlement_type,last_price,last_price_date
INF00XX01135,ITI MUTUAL FUND_MF,ITI Multi Cap Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T2,24.3229,2024-12-13
INF00XX01143,ITI MUTUAL FUND_MF,ITI Multi Cap Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,idcw-payout,Equity,regular,T2,22.297,2024-12-13
INF00XX01168,ITI MUTUAL FUND_MF,ITI Multi Cap Fund - Direct Plan,1,1,1000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T2,27.218,2024-12-13
INF00XX01176,ITI MUTUAL FUND_MF,ITI Multi Cap Fund - Direct Plan,1,1,1000.0,1.0,1000.0,0.001,0.001,idcw-payout,Equity,direct,T2,25.0821,2024-12-13
INF00XX01192,ITI MUTUAL FUND_MF,ITI Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,1311.4182,2024-12-14
INF00XX01267,ITI MUTUAL FUND_MF,ITI Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,idcw-payout,Debt,regular,T1,1001.1538,2024-12-14
INF00XX01275,ITI MUTUAL FUND_MF,ITI Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,idcw-payout,Debt,regular,T1,1318.105,2024-12-14
INF00XX01283,ITI MUTUAL FUND_MF,ITI Liquid Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,direct,T1,1321.4363,2024-12-14
INF00XX01358,ITI MUTUAL FUND_MF,ITI Liquid Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,idcw-payout,Debt,direct,T1,1004.274,2024-12-14
INF00XX01366,ITI MUTUAL FUND_MF,ITI Liquid Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,idcw-payout,Debt,direct,T1,1322.8437,2024-12-14
