dividend_type,purchase_amount_multiplier,minimum_additional_purchase_amount,minimum_purchase_amount,redemption_allowed,minimum_redemption_quantity,scheme_type,redemption_quantity_multiplier,amc,scheme_code,name,last_price_date,tradingsymbol,purchase_allowed,plan,settlement_type,last_price
growth,1.0,1000.0,1000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147184,ITI Multi Cap Fund,2024-12-13,INF00XX01135,0,regular,T2,24.3229
idcw-payout,1.0,1000.0,1000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147185,ITI Multi Cap Fund,2024-12-13,INF00XX01143,0,regular,T2,22.297
growth,1.0,1000.0,1000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147183,ITI Multi Cap Fund - Direct Plan,2024-12-13,INF00XX01168,1,direct,T2,27.218
idcw-payout,1.0,1000.0,1000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147186,ITI Multi Cap Fund - Direct Plan,2024-12-13,INF00XX01176,1,direct,T2,25.0821
growth,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147153,ITI Liquid Fund,2024-12-14,INF00XX01192,0,regular,T1,1311.4182
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147156,ITI Liquid Fund,2024-12-14,INF00XX01267,0,regular,T1,1001.1538
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147162,ITI Liquid Fund,2024-12-14,INF00XX01275,0,regular,T1,1318.105
growth,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147157,ITI Liquid Fund - Direct Plan,2024-12-14,INF00XX01283,1,direct,T1,1321.4363
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147163,ITI Liquid Fund - Direct Plan,2024-12-14,INF00XX01358,1,direct,T1,1004.274
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147161,ITI Liquid Fund - Direct Plan,2024-12-14,INF00XX01366,1,direct,T1,1322.8437
growth,500.0,500.0,500.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147544,ITI ELSS Tax Saver Fund,2024-12-13,INF00XX01374,0,regular,T2,24.9368
idcw-payout,500.0,500.0,500.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147543,ITI ELSS Tax Saver Fund,2024-12-13,INF00XX01382,0,regular,T2,22.8838
growth,500.0,500.0,500.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147541,ITI ELSS Tax Saver Fund - Direct Plan,2024-12-13,INF00XX01390,1,direct,T2,27.6788
idcw-payout,500.0,500.0,500.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147542,ITI ELSS Tax Saver Fund - Direct Plan,2024-12-13,INF00XX01408,1,direct,T2,25.5233
growth,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147618,ITI Arbitrage Fund,2024-12-13,INF00XX01416,0,regular,T2,12.4804
idcw-payout,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147616,ITI Arbitrage Fund,2024-12-13,INF00XX01424,0,regular,T2,12.4804
growth,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147617,ITI Arbitrage Fund - Direct Plan,2024-12-13,INF00XX01440,1,direct,T2,12.9828
idcw-payout,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147615,ITI Arbitrage Fund - Direct Plan,2024-12-13,INF00XX01457,1,direct,T2,12.9828
growth,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147714,ITI Overnight Fund,2024-12-14,INF00XX01473,0,regular,T1,1265.3499
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147718,ITI Overnight Fund,2024-12-14,INF00XX01549,0,regular,T1,1001.0714
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147715,ITI Overnight Fund,2024-12-14,INF00XX01556,0,regular,T1,1186.5175
growth,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147713,ITI Overnight Fund - Direct Plan,2024-12-14,INF00XX01564,1,direct,T1,1271.986
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147717,ITI Overnight Fund - Direct Plan,2024-12-14,INF00XX01630,1,direct,T1,1004.0802
idcw-payout,1.0,1000.0,5000.0,1,0.001,Debt,0.001,ITI MUTUAL FUND_MF,147707,ITI Overnight Fund - Direct Plan,2024-08-29,INF00XX01648,1,direct,T1,1000.692
growth,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147787,ITI Balanced Advantage Fund,2024-12-13,INF00XX01655,0,regular,T2,14.5222
idcw-payout,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147786,ITI Balanced Advantage Fund,2024-12-13,INF00XX01663,0,regular,T2,13.2333
growth,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147789,ITI Balanced Advantage Fund - Direct Plan,2024-12-13,INF00XX01689,1,direct,T2,16.0365
idcw-payout,1.0,1000.0,5000.0,1,0.001,Hybrid,0.001,ITI MUTUAL FUND_MF,147788,ITI Balanced Advantage Fund - Direct Plan,2024-12-13,INF00XX01697,1,direct,T2,14.7364
growth,1.0,1000.0,5000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147920,ITI Small Cap Fund,2024-12-13,INF00XX01713,0,regular,T2,30.034
idcw-payout,1.0,1000.0,5000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147918,ITI Small Cap Fund,2024-12-13,INF00XX01721,0,regular,T2,28.9751
growth,1.0,1000.0,5000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147919,ITI Small Cap Fund - Direct Plan,2024-12-13,INF00XX01747,1,direct,T2,33.0544
idcw-payout,1.0,1000.0,5000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,147917,ITI Small Cap Fund - Direct Plan,2024-12-13,INF00XX01754,1,direct,T2,31.9818
growth,1.0,1000.0,5000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,148351,ITI Large Cap Fund,2024-12-13,INF00XX01770,0,regular,T2,18.1654
idcw-payout,1.0,1000.0,5000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,148354,ITI Large Cap Fund,2024-12-13,INF00XX01788,0,regular,T2,18.1654
growth,1.0,1000.0,5000.0,1,0.001,Equity,0.001,ITI MUTUAL FUND_MF,148353,ITI Large Cap Fund - Direct Plan,2024-12-13,INF00XX01804,1,direct,T2,19.7437
