end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM
Open Ended,Equity,Large Cap,,,,,,,,,,,
Open Ended,Equity,Large Cap,Aditya Birla Sun Life Frontline Equity Fund|data-plan_id=1400,NIFTY 100 Total Return Index,Very High,Very High,508.3000|data-nav-reg=508.3000|data-prev-nav-reg=511.0800,559.7200|data-nav-dir=559.7200|data-prev-nav-dir=562.7700,16.75|data-1y=18.08|data-3y=13.83|data-5y=16.75|data-10y=12.30|data-sl=19.21,17.53|data-1y=18.87|data-3y=14.60|data-5y=17.53|data-10y=13.20|data-sl=15.34,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"29,382.93^|data-order=29,382.93"
Open Ended,Equity,Large Cap,Axis Bluechip Fund|data-plan_id=10780,BSE 100 Total Return Index,Very High,Very High,59.1200|data-nav-reg=59.1200|data-prev-nav-reg=59.5200,67.6800|data-nav-dir=67.6800|data-prev-nav-dir=68.1400,13.03|data-1y=16.42|data-3y=7.93|data-5y=13.03|data-10y=11.69|data-sl=12.57,14.25|data-1y=17.46|data-3y=8.99|data-5y=14.25|data-10y=12.95|data-sl=15.27,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=12.36,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"33,797.78^|data-order=33,797.78"
Open Ended,Equity,Large Cap,Bandhan Large Cap Fund|data-plan_id=3400,BSE 100 Total Return Index,Very High,Very High,75.3300|data-nav-reg=75.3300|data-prev-nav-reg=75.7320,85.9870|data-nav-dir=85.9870|data-prev-nav-dir=86.4440,17.16|data-1y=21.00|data-3y=13.66|data-5y=17.16|data-10y=11.93|data-sl=11.48,18.56|data-1y=22.42|data-3y=15.04|data-5y=18.56|data-10y=13.31|data-sl=14.27,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=13.84,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"1,812.58^|data-order=1,812.58"
Open Ended,Equity,Large Cap,Bank of India Bluechip Fund|data-plan_id=41519,NIFTY 100 Total Return Index,Very High,Very High,15.9800|data-nav-reg=15.9800|data-prev-nav-reg=16.0000,16.6800|data-nav-dir=16.6800|data-prev-nav-dir=16.7100,--|data-1y=15.46|data-3y=12.60|data-5y=NA|data-10y=NA|data-sl=14.25,--|data-1y=16.89|data-3y=13.88|data-5y=NA|data-10y=NA|data-sl=15.65,--|data-1y=15.50|data-3y=12.88|data-5y=NA|data-10y=NA|data-sl=14.62,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.62,197.18^|data-order=197.18
Open Ended,Equity,Large Cap,Baroda BNP Paribas Large Cap Fund|data-plan_id=2338,NIFTY 100 Total Return Index,Very High,Very High,220.0033|data-nav-reg=220.0033|data-prev-nav-reg=221.3340,252.1573|data-nav-dir=252.1573|data-prev-nav-dir=253.6742,17.56|data-1y=22.58|data-3y=15.95|data-5y=17.56|data-10y=13.01|data-sl=16.33,18.95|data-1y=24.03|data-3y=17.33|data-5y=18.95|data-10y=14.36|data-sl=16.57,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=15.62,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"2,435.98^^|data-order=2,435.98"
Open Ended,Equity,Large Cap,Canara Robeco Bluechip Equity Fund|data-plan_id=11333,BSE 100 Total Return Index,Very High,Very High,61.2200|data-nav-reg=61.2200|data-prev-nav-reg=61.6500,70.2800|data-nav-dir=70.2800|data-prev-nav-dir=70.7800,17.52|data-1y=20.20|data-3y=13.17|data-5y=17.52|data-10y=13.47|data-sl=13.42,19.15|data-1y=21.61|data-3y=14.65|data-5y=19.15|data-10y=14.90|data-sl=15.77,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=12.48,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.21,"15,113.60^|data-order=15,113.60"
Open Ended,Equity,Large Cap,DSP Top 100 Equity Fund|data-plan_id=1540,BSE 100 Total Return Index,Very High,Very High,457.3070|data-nav-reg=457.3070|data-prev-nav-reg=459.3710,497.3810|data-nav-dir=497.3810|data-prev-nav-dir=499.6150,15.02|data-1y=23.23|data-3y=15.80|data-5y=15.02|data-10y=11.20|data-sl=19.13,15.93|data-1y=24.25|data-3y=16.73|data-5y=15.93|data-10y=12.02|data-sl=13.07,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=17.82,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"4,608.56^|data-order=4,608.56"
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund✝|data-plan_id=10436,NIFTY 100 Total Return Index,Very High,Very High,81.7800|data-nav-reg=81.7800|data-prev-nav-reg=82.3700,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.84|data-1y=17.15|data-3y=14.26|data-5y=16.84|data-10y=12.74|data-sl=14.39,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=13.64,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,125.61|data-order=1,125.61"
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund|data-plan_id=10432,NIFTY 100 Total Return Index,Very High,Very High,82.3600|data-nav-reg=82.3600|data-prev-nav-reg=82.9600,93.7800|data-nav-dir=93.7800|data-prev-nav-dir=94.4500,16.82|data-1y=17.16|data-3y=14.23|data-5y=16.82|data-10y=12.72|data-sl=14.44,18.65|data-1y=18.96|data-3y=16.01|data-5y=18.65|data-10y=14.10|data-sl=15.67,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=13.64,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"1,125.61|data-order=1,125.61"
