end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM,regular_isin,direct_isin,data_plan_id
Open Ended,Equity,Large Cap,Aditya Birla Sun Life Frontline Equity Fund,NIFTY 100 Total Return Index,Very High,Very High,499.9100|data-nav-reg=499.9100|data-prev-nav-reg=508.3000,550.5100|data-nav-dir=550.5100|data-prev-nav-dir=559.7200,16.83|data-1y=14.70|data-3y=13.02|data-5y=16.83|data-10y=12.44|data-sl=19.11,17.61|data-1y=15.46|data-3y=13.78|data-5y=17.61|data-10y=13.34|data-sl=15.17,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"28,738.03|data-order=28,738.03",INF209K01BR9,INF209K01YY7,1400
Open Ended,Equity,Large Cap,Axis Bluechip Fund,BSE 100 Total Return Index,Very High,Very High,58.2300|data-nav-reg=58.2300|data-prev-nav-reg=59.1200,66.6600|data-nav-dir=66.6600|data-prev-nav-dir=67.6800,13.08|data-1y=13.45|data-3y=7.07|data-5y=13.08|data-10y=11.81|data-sl=12.45,14.29|data-1y=14.45|data-3y=8.11|data-5y=14.29|data-10y=13.06|data-sl=15.11,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=12.21,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"33,062.21|data-order=33,062.21",INF846K01164,INF846K01DP8,10780
Open Ended,Equity,Large Cap,Bandhan Large Cap Fund,BSE 100 Total Return Index,Very High,Very High,73.9650|data-nav-reg=73.9650|data-prev-nav-reg=75.3300,84.4370|data-nav-dir=84.4370|data-prev-nav-dir=85.9870,17.14|data-1y=17.31|data-3y=12.75|data-5y=17.14|data-10y=12.09|data-sl=11.36,18.55|data-1y=18.68|data-3y=14.14|data-5y=18.55|data-10y=13.47|data-sl=14.09,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=13.71,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"1,771.21|data-order=1,771.21",INF194K01516,INF194K01Z44,3400
Open Ended,Equity,Large Cap,Bank of India Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,15.6000|data-nav-reg=15.6000|data-prev-nav-reg=15.9800,16.2900|data-nav-dir=16.2900|data-prev-nav-dir=16.6800,--|data-1y=11.13|data-3y=11.60|data-5y=NA|data-10y=NA|data-sl=13.44,--|data-1y=12.51|data-3y=12.92|data-5y=NA|data-10y=NA|data-sl=14.84,--|data-1y=12.18|data-3y=11.92|data-5y=NA|data-10y=NA|data-sl=13.96,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.96,192.44|data-order=192.44,INF761K01FO7,INF761K01FL3,41519
Open Ended,Equity,Large Cap,Baroda BNP Paribas Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,215.8596|data-nav-reg=215.8596|data-prev-nav-reg=220.0033,247.4321|data-nav-dir=247.4321|data-prev-nav-dir=252.1573,17.56|data-1y=19.06|data-3y=14.97|data-5y=17.56|data-10y=13.04|data-sl=16.21,18.95|data-1y=20.46|data-3y=16.34|data-5y=18.95|data-10y=14.39|data-sl=16.38,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=15.50,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"2,415.03|data-order=2,415.03",INF251K01910,INF251K01HN7,2338
Open Ended,Equity,Large Cap,Canara Robeco Bluechip Equity Fund,BSE 100 Total Return Index,Very High,Very High,60.2400|data-nav-reg=60.2400|data-prev-nav-reg=61.2200,69.1700|data-nav-dir=69.1700|data-prev-nav-dir=70.2800,17.53|data-1y=17.03|data-3y=12.41|data-5y=17.53|data-10y=13.64|data-sl=13.29,19.16|data-1y=18.41|data-3y=13.88|data-5y=19.16|data-10y=15.07|data-sl=15.60,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=12.32,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.02,"14,781.64|data-order=14,781.64",,,11333
Open Ended,Equity,Large Cap,DSP Top 100 Equity Fund,BSE 100 Total Return Index,Very High,Very High,450.4400|data-nav-reg=450.4400|data-prev-nav-reg=457.3070,489.9460|data-nav-dir=489.9460|data-prev-nav-dir=497.3810,15.17|data-1y=20.02|data-3y=15.24|data-5y=15.17|data-10y=11.38|data-sl=19.04,16.08|data-1y=21.01|data-3y=16.16|data-5y=16.08|data-10y=12.20|data-sl=12.92,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=17.71,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"4,521.20|data-order=4,521.20",INF740K01243,INF740K01PR3,1540
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund✝,NIFTY 100 Total Return Index,Very High,Very High,80.4000|data-nav-reg=80.4000|data-prev-nav-reg=81.7800,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.88|data-1y=14.03|data-3y=13.47|data-5y=16.88|data-10y=12.88|data-sl=14.25,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=13.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,106.38|data-order=1,106.38",,,10436
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,80.9700|data-nav-reg=80.9700|data-prev-nav-reg=82.3600,92.2100|data-nav-dir=92.2100|data-prev-nav-dir=93.7800,16.85|data-1y=14.02|data-3y=13.43|data-5y=16.85|data-10y=12.87|data-sl=14.30,18.68|data-1y=15.79|data-3y=15.20|data-5y=18.68|data-10y=14.26|data-sl=15.50,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=13.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"1,106.38|data-order=1,106.38",INF754K01053,INF754K01BT0,10432
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund✝,NIFTY 100 Total Return Index,Very High,Very High,81.4600|data-nav-reg=81.4600|data-prev-nav-reg=82.8600,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.88|data-1y=14.02|data-3y=13.47|data-5y=16.88|data-10y=12.88|data-sl=14.35,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=13.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,106.38|data-order=1,106.38",,,10434
